lon,lat
725919.2257,319280.9099
722819.1176,316890.6247
747098.4551,395549.8653
747439.3805,396219.5126
747589.6048,401463.1709
747250.2299,395921.9997
209000.8291,483337.9433
209430.0114,484059.8488
823019.8573,419664.7818
504702.5827,431686.55
505271.5313,433064.5167
502810.6607,434001.2001
502924.6409,433965.9171
503152.4395,433913.3582
503162.7782,433900.2516
504549.0159,434193.4531
504516.1472,434295.8791
504436.6143,436191.811
504405.032,436485.0266
504389.1141,436535.0181
504386.6658,436567.5737
504123.0267,436999.0844
508795.0098,430041.3168
598968.0262,681519.8048
510097.1194,425893.0756
510097.1194,425893.0756
510077.6574,427226.7747
503605.2849,437791.5857
504712.1843,432662.9397
504833.9057,430044.6799
504864.589,429765.8012
559688.5786,369091.619
528214.2662,238916.2615
484840.0072,369868.0565
744778.4461,422187.593
581739.2062,297039.4393
217939.2193,396020.8224
217703.725,397717.867
234920.4433,425944.2247
459478.1738,439080.4634
589830.1331,696275.4722
446886.0532,441058.7595
458527.5265,425878.2683
459315.7287,425835.9969
460809.4474,424931.4283
461493.6829,427470.7151
459541.8525,436855.5286
459387.8595,437600.8108
459325.7553,437879.46
459370.9509,438213.8618
459335.9653,438258.9817
459426.872,438876.2226
459430.3442,438905.0915
459483.8758,439079.3153
459492.9619,439093.4799
459454.8899,439518.6521
459677.8508,436347.8311
459680.7987,435189.049
218791.1341,552693.6471
361744.6683,321897.0778
220277.1225,554786.5231
238367.9104,596932.4614
192695.5949,520813.9212
192403.4782,522512.6895
192193.9608,522536.1517
272376.7425,657694.1988
589563.4714,363053.0975
602582.5721,355613.6035
621355.9594,354545.8686
554252.1806,384590.3262
569558.3034,712313.5548
689342.6784,476524.7806
690527.3758,504446.3912
226758.692,401810.6858
272481.5409,507143.1841
295676.6669,408173.2373
296045.3119,409064.5685
288317.9021,406020.9259
318355.8302,336660.2689
321123.6291,344825.4147
452701.2232,298090.6679
433720.1391,398932.4202
736706.3684,423841.8472
799620.2778,345128.6574
627485.3219,407504.8089
628172.3984,409566.0381
296315.2522,409168.4183
269675.8115,650276.365
686938.7493,635704.3189
274569.5992,657577.0184
141865.4285,511012.5335
200680.7711,455961.9341
562646.1287,310369.798
686921.668,634931.7407
686936.8873,635114.2047
823003.7152,419668.1255
686892.5771,634768.4211
590141.7397,322846.9507
274258.8893,611428.318
273945.1086,611267.6536
273963.2646,611304.801
276492.6839,653261.0075
281689.8897,659832.9696
282862.7117,661219.6184
287079.7137,665865.0868
536384.9521,416826.7471
462492.9967,418857.6653
461761.0913,418928.1275
461783.0808,427909.4972
318302.4864,330168.6715
801873.1946,353934.6538
533850.5945,310767.7677
503672.5551,315009.8502
543696.6629,312067.8474
543285.7788,244431.2137
659589.4676,341912.9369
659718.1575,342594.2602
651056.2858,349540.9057
656848.3399,349435.8492
661917.4707,345449.0406
662676.0368,344514.1257
732499.8977,331610.5606
731412.8295,332370.2004
731515.4424,334972.8552
732507.7162,334840.0166
733142.2639,334653.6103
729106.0033,347369.0118
730312.1524,349262.3954
725993.9255,359877.8824
705070.0682,350237.7895
675119.392,357714.9064
660633.7675,362877.3145
624674.1059,361364.674
724253.2629,352148.061
706764.8984,346083.4266
354583.5995,715619.2307
354875.8406,715772.5832
310095.9243,680043.483
354875.8403,715772.5721
354992.3948,715826.1407
309984.3414,680784.3749
301040.4534,670520.5369
301015.4684,670509.3376
300954.1887,670435.5703
301078.1496,670042.8369
301293.0309,670013.3373
307010.4604,676364.7344
307317.4161,675987.2281
307345.5381,675988.0921
307433.8241,675981.5451
304661.3892,674378.3762
306096.3369,674293.4544
348473.3732,719187.7485
348483.1807,719190.743
348484.8229,719196.441
348545.6346,719406.7187
348545.6346,719406.7187
353390.2383,713293.3112
353699.8172,713179.4924
354475.2635,713484.9663
354486.4196,713587.5107
354426.8867,712814.2421
354478.2314,713501.4678
353694.3733,713194.5459
358895.2182,271708.3031
350904.0685,697752.6687
305992.6062,676909.4048
305947.0424,675899.5222
305962.3544,674425.9094
310053.1436,677053.3751
310052.7854,677053.9429
310004.6975,677071.2869
309998.1554,677083.2906
309919.1321,677112.7555
307235.3873,673085.3287
307266.2112,673085.4374
409905.9812,389176.2881
409849.6707,389150.5737
374730.139,331563.8865
648252.1653,572195.2998
648251.0954,572192.0714
669660.4841,501209.0309
347522.4792,717468.2691
366701.2375,715262.726
364317.9772,706253.9289
366484.269,704853.9079
365837.9957,704734.6059
365725.6483,704761.0887
365707.3987,704831.0255
365696.8026,704858.9644
365682.5671,704930.8117
365678.8349,704944.4673
365654.0746,705027.6787
364032.5022,714527.6189
362837.3659,714108.7526
365523.8374,712270.4877
365539.676,712256.5537
365544.5638,712247.8765
364699.2451,712607.7102
365207.3726,712620.3615
365634.7754,712577.1761
365642.2713,712581.12
366510.5026,712259.2781
366042.0356,710011.6952
366049.2469,710025.9908
366051.2145,710026.9469
348446.4493,718361.0637
348477.0182,718355.266
582304.3784,293258.9599
538278.1358,256715.406
745170.8245,421624.5092
698672.0364,294167.0583
582247.3837,293545.3269
727116.0654,364903.4561
483713.2424,405869.7463
217757.1444,505449.8413
801874.0561,353940.5315
392697.1074,308529.7696
745170.8245,421624.5092
745170.8245,421624.5092
582247.3837,293545.3269
727116.0654,364903.4561
745170.3432,421636.8504
743816.0046,422341.2206
582211.3992,293570.9236
801950.6806,353923.7851
